Time (ms),Iteration 1,Iteration 2,AVG
31.8,0.010994871,0.011544043,0.011269457
31.8125,0.012044901,0.012455572,0.012250236
31.825,0.012323513,0.013062721,0.012693117
31.8375,0.012735794,0.013454066,0.01309493
31.85,0.012850138,0.012978976,0.012914557
31.8625,0.013816423,0.013022459,0.013419441
31.875,0.014120803,0.013526538,0.01382367
31.8875,0.013713353,0.013721405,0.013717379
31.9,0.013273693,0.013537811,0.013405752
31.9125,0.01367148,0.013676312,0.013673896
31.925,0.0130595,0.013600619,0.01333006
31.9375,0.012650439,0.013904999,0.013277719
31.95,0.012479729,0.013706911,0.01309332
31.9625,0.013035343,0.013513654,0.013274498
31.975,0.013090099,0.013642492,0.013366295
31.9875,0.013763277,0.013798708,0.013780993
32,0.013665039,0.013454066,0.013559552
32.0125,0.013900168,0.014375258,0.014137713
32.025,0.014256083,0.014455782,0.014355932
32.0375,0.013885673,0.014489602,0.014187638
32.05,0.013932377,0.014243199,0.014087788
32.0625,0.013428299,0.014014511,0.013721405
32.075,0.013626387,0.014355932,0.01399116
32.0875,0.013408973,0.014459002,0.013933988
32.1,0.013458898,0.014607166,0.014033032
32.1125,0.013204443,0.013626387,0.013415415
32.125,0.01333328,0.012713248,0.013023264
32.1375,0.013249536,0.012428194,0.012838865
32.15,0.013048226,0.012558642,0.012803434
32.1625,0.012920999,0.012486171,0.012703585
32.175,0.012740626,0.012289693,0.012515159
32.1875,0.012318681,0.012107709,0.012213195
32.2,0.012022354,0.012099657,0.012061005
32.2125,0.01180655,0.012194675,0.012000612
32.225,0.011864528,0.012193064,0.012028796
32.2375,0.011154308,0.012487781,0.011821045
32.25,0.011112436,0.012395984,0.01175421
32.2625,0.010783899,0.011821045,0.011302472
32.275,0.011246105,0.011854865,0.011550485
32.2875,0.011579473,0.011880632,0.011730053
32.3,0.012012691,0.012147971,0.012080331
32.3125,0.012251041,0.011647113,0.011949077
32.325,0.012774446,0.011930557,0.012352501
32.3375,0.012842086,0.011281535,0.012061811
32.35,0.012098046,0.01126382,0.011680933
32.3625,0.012167297,0.011231611,0.011699454
32.375,0.011816213,0.011949883,0.011883048
32.3875,0.011550485,0.012995081,0.012272783
32.4,0.010998092,0.012581189,0.01178964
32.4125,0.011481234,0.012711637,0.012096436
